roll_date,data_date,expiration,dte,strike,delta,implied_volatility,mark,bid,ask,last,volume,open_interest,contractID
2016-06-06,2016-06-06,2016-06-24,18,122.50,0.24961,0.19048,0.73,0.72,0.75,0.82,36,860,GLD160624C00122500
2016-06-27,2016-06-27,2016-07-15,18,131.50,0.25065,0.23926,1.02,1.00,1.05,1.05,73,557,GLD160715C00131500
2016-07-18,2016-07-18,2016-08-05,18,130.50,0.24713,0.17097,0.73,0.72,0.75,0.43,0,9,GLD160805C00130500
2016-08-08,2016-08-08,2016-08-26,18,130.50,0.24738,0.15146,0.58,0.57,0.59,0.63,18,203,GLD160826C00130500
2016-08-29,2016-08-29,2016-09-16,18,129.00,0.25779,0.14170,0.61,0.60,0.62,0.61,447,17753,GLD160916C00129000
2016-09-19,2016-09-19,2016-10-07,18,128.50,0.26245,0.17097,0.70,0.69,0.72,0.77,15,129,GLD161007C00128500
2016-10-10,2016-10-10,2016-10-28,18,122.50,0.26212,0.13195,0.58,0.57,0.60,0.59,16,262,GLD161028C00122500
2016-10-31,2016-10-31,2016-11-18,18,125.50,0.25607,0.19048,0.80,0.79,0.82,0.79,271,231,GLD161118C00125500
2016-11-21,2016-11-21,2016-12-09,18,118.00,0.24647,0.13195,0.52,0.50,0.54,0.51,13,253,GLD161209C00118000
2016-12-12,2016-12-12,2016-12-30,18,113.00,0.27529,0.14170,0.62,0.61,0.64,0.60,691,1414,GLD161230C00113000
2017-01-02,2016-12-30,2017-01-20,21,112.50,0.24526,0.15146,0.56,0.54,0.59,0.59,152,809,GLD170120C00112500
2017-01-23,2017-01-23,2017-02-10,18,118.00,0.28274,0.14170,0.65,0.63,0.66,0.67,69,116,GLD170210C00118000
2017-02-13,2017-02-13,2017-03-03,18,119.50,0.24191,0.14170,0.48,0.47,0.49,0.46,9,64,GLD170303C00119500
2017-03-06,2017-03-06,2017-03-24,18,119.00,0.26289,0.13195,0.51,0.49,0.52,0.55,46,975,GLD170324C00119000
2017-03-27,2017-03-27,2017-04-13,17,122.00,0.22772,0.12219,0.42,0.41,0.44,0.41,8,68,GLD170413C00122000
2017-04-17,2017-04-17,2017-05-05,18,125.50,0.25386,0.17097,0.70,0.70,0.71,0.96,121,356,GLD170505C00125500
2017-05-08,2017-05-08,2017-05-26,18,119.00,0.23146,0.11244,0.38,0.37,0.38,0.41,154,3883,GLD170526C00119000
2017-05-29,2017-05-26,2017-06-16,21,123.00,0.23693,0.11244,0.47,0.47,0.48,0.48,906,11294,GLD170616C00123000
2017-06-19,2017-06-19,2017-07-07,18,120.00,0.27420,0.09292,0.42,0.42,0.43,0.41,147,616,GLD170707C00120000
2017-07-10,2017-07-10,2017-07-28,18,117.50,0.25380,0.11244,0.40,0.39,0.40,0.39,109,2130,GLD170728C00117500
2017-07-31,2017-07-31,2017-08-18,18,123.00,0.24016,0.11244,0.44,0.43,0.45,0.44,299,17281,GLD170818C00123000
2017-08-21,2017-08-21,2017-09-08,18,125.50,0.23602,0.13195,0.51,0.50,0.52,0.26,0,326,GLD170908C00125500
2017-09-11,2017-09-11,2017-09-29,18,129.00,0.23655,0.13195,0.47,0.46,0.48,0.46,112,2565,GLD170929C00129000
2017-10-02,2017-10-02,2017-10-20,18,123.00,0.24278,0.11244,0.46,0.45,0.46,0.46,2621,6907,GLD171020C00123000
2017-10-23,2017-10-23,2017-11-10,18,124.00,0.24776,0.11244,0.48,0.47,0.49,0.47,42,1031,GLD171110C00124000
2017-11-13,2017-11-13,2017-12-01,18,123.50,0.22718,0.10268,0.39,0.38,0.40,0.38,53,453,GLD171201C00123500
2017-12-04,2017-12-04,2017-12-22,18,123.00,0.26853,0.10268,0.43,0.42,0.44,0.41,60,960,GLD171222C00123000
2017-12-25,2017-12-22,2018-01-12,21,123.00,0.23887,0.09292,0.34,0.33,0.36,0.33,27,84,GLD180112C00123000
2018-01-15,2018-01-12,2018-02-02,21,129.00,0.29209,0.11244,0.59,0.58,0.61,0.63,419,104,GLD180202C00129000
2018-02-05,2018-02-05,2018-02-23,18,129.50,0.24048,0.13195,0.55,0.53,0.56,0.65,27,161,GLD180223C00129500
2018-02-26,2018-02-26,2018-03-16,18,128.50,0.27307,0.11244,0.54,0.53,0.54,0.53,113,82,GLD180316C00128500
2018-03-19,2018-03-19,2018-04-06,18,127.00,0.26217,0.11244,0.45,0.44,0.45,0.47,13,515,GLD180406C00127000
2018-04-09,2018-04-09,2018-04-27,18,129.50,0.25124,0.13195,0.51,0.50,0.51,0.48,2,137,GLD180427C00129500
2018-04-30,2018-04-30,2018-05-18,18,127.00,0.23532,0.11244,0.40,0.39,0.41,0.40,717,9638,GLD180518C00127000
2018-05-21,2018-05-21,2018-06-08,18,124.50,0.25168,0.10268,0.40,0.39,0.41,0.34,5,186,GLD180608C00124500
2018-06-11,2018-06-11,2018-06-29,18,125.00,0.28188,0.10268,0.52,0.51,0.53,0.51,140,13776,GLD180629C00125000
2018-07-02,2018-07-02,2018-07-20,18,119.50,0.26128,0.11244,0.42,0.41,0.43,0.46,216,1089,GLD180720C00119500
2018-07-23,2018-07-23,2018-08-10,18,118.00,0.26290,0.11244,0.47,0.47,0.48,0.55,8,646,GLD180810C00118000
2018-08-13,2018-08-13,2018-08-31,18,115.00,0.25251,0.11244,0.44,0.43,0.45,0.43,95,887,GLD180831C00115000
2018-09-03,2018-08-31,2018-09-21,21,115.50,0.23598,0.09292,0.38,0.37,0.39,0.39,17,2040,GLD180921C00115500
2018-09-24,2018-09-24,2018-10-12,18,115.50,0.23438,0.10268,0.38,0.37,0.39,0.48,20,332,GLD181012C00115500
2018-10-15,2018-10-15,2018-11-02,18,118.50,0.24941,0.13195,0.46,0.45,0.46,0.60,2,417,GLD181102C00118500
2018-11-05,2018-11-05,2018-11-23,18,118.50,0.26931,0.12219,0.52,0.50,0.53,0.51,26,176,GLD181123C00118500
2018-11-26,2018-11-26,2018-12-14,18,117.50,0.26083,0.10268,0.44,0.43,0.45,0.42,130,29,GLD181214C00117500
2018-12-17,2018-12-17,2019-01-04,18,120.00,0.25420,0.11244,0.42,0.41,0.44,0.48,495,151,GLD190104C00120000
2019-01-07,2019-01-07,2019-01-25,18,124.00,0.26195,0.11244,0.44,0.43,0.45,0.43,145,284,GLD190125C00124000
2019-01-28,2019-01-28,2019-02-15,18,125.50,0.23704,0.10268,0.39,0.38,0.39,0.37,6,167,GLD190215C00125500
2019-02-18,2019-02-15,2019-03-08,21,127.00,0.23857,0.09292,0.43,0.42,0.45,0.44,100,36,GLD190308C00127000
2019-03-11,2019-03-11,2019-03-29,18,124.00,0.28651,0.10268,0.47,0.46,0.48,0.39,287,4394,GLD190329C00124000
2019-04-01,2019-04-01,2019-04-18,17,123.50,0.25338,0.10268,0.39,0.38,0.39,0.39,141,5471,GLD190418C00123500
2019-04-22,2019-04-22,2019-05-10,18,122.00,0.27988,0.09292,0.41,0.41,0.42,0.40,23,575,GLD190510C00122000
2019-05-13,2019-05-13,2019-05-31,18,125.00,0.22294,0.10268,0.39,0.38,0.39,0.42,79,436,GLD190531C00125000
2019-06-03,2019-06-03,2019-06-21,18,128.00,0.23433,0.13195,0.49,0.48,0.50,0.49,1448,12593,GLD190621C00128000
2019-06-24,2019-06-24,2019-07-12,18,138.00,0.25558,0.19048,0.86,0.85,0.88,0.84,90,34,GLD190712C00138000
2019-07-15,2019-07-15,2019-08-02,18,137.50,0.23530,0.17097,0.71,0.70,0.72,0.61,134,608,GLD190802C00137500
2019-08-05,2019-08-05,2019-08-23,18,141.00,0.29890,0.18073,1.05,1.04,1.06,1.06,681,117,GLD190823C00141000
2019-08-26,2019-08-26,2019-09-13,18,148.50,0.25771,0.19048,0.94,0.94,0.95,0.99,26,217,GLD190913C00148500
2019-09-16,2019-09-16,2019-10-04,18,145.50,0.24870,0.18073,0.79,0.78,0.80,0.83,152,1060,GLD191004C00145500
2019-10-07,2019-10-07,2019-10-25,18,144.00,0.25853,0.15146,0.77,0.76,0.78,0.77,113,897,GLD191025C00144000
2019-10-28,2019-10-28,2019-11-15,18,144.00,0.24014,0.14170,0.59,0.58,0.60,0.59,2184,6578,GLD191115C00144000
2019-11-18,2019-11-18,2019-12-06,18,141.00,0.26151,0.11244,0.50,0.49,0.51,0.52,126,321,GLD191206C00141000
2019-12-09,2019-12-09,2019-12-31,22,140.00,0.26043,0.10268,0.51,0.50,0.51,0.49,62,2708,GLD191231C00140000
2019-12-30,2019-12-30,2020-01-17,18,145.50,0.24433,0.12219,0.59,0.59,0.60,0.60,303,646,GLD200117C00145500
2020-01-20,2020-01-17,2020-02-07,21,149.50,0.24672,0.11244,0.61,0.61,0.62,0.62,1,271,GLD200207C00149500
2020-02-10,2020-02-10,2020-02-28,18,151.00,0.25625,0.12219,0.57,0.56,0.58,0.58,75,693,GLD200228C00151000
2020-03-02,2020-03-02,2020-03-20,18,154.50,0.23935,0.21000,0.95,0.93,0.96,1.01,208,927,GLD200320C00154500
2020-03-23,2020-03-23,2020-04-09,17,157.00,0.24580,0.44414,1.93,1.86,2.00,2.01,120,638,GLD200409C00157000
2020-04-13,2020-04-13,2020-05-01,18,170.00,0.21821,0.28804,1.27,1.24,1.31,1.40,1446,1599,GLD200501C00170000
2020-05-04,2020-05-04,2020-05-22,18,166.00,0.23574,0.21000,1.06,1.05,1.07,1.02,258,335,GLD200522C00166000
2020-05-25,2020-05-22,2020-06-12,21,168.50,0.23777,0.18073,0.93,0.91,0.95,0.92,8,102,GLD200612C00168500
2020-06-15,2020-06-15,2020-07-02,17,167.00,0.25195,0.19048,0.98,0.96,1.01,0.86,9,144,GLD200702C00167000
2020-07-06,2020-07-06,2020-07-24,18,171.50,0.27477,0.15146,0.93,0.91,0.94,0.88,3,140,GLD200724C00171500
2020-07-27,2020-07-27,2020-08-14,18,190.00,0.25157,0.26853,1.62,1.60,1.65,1.61,1307,1127,GLD200814C00190000
2020-08-17,2020-08-17,2020-09-04,18,195.00,0.23677,0.26853,1.53,1.51,1.55,1.52,370,1117,GLD200904C00195000
2020-09-07,2020-09-04,2020-09-25,21,188.00,0.25558,0.21000,1.32,1.30,1.34,1.41,49,233,GLD200925C00188000
2020-09-28,2020-09-28,2020-10-16,18,181.50,0.25893,0.18073,1.08,1.07,1.09,1.02,35,690,GLD201016C00181500
2020-10-19,2020-10-19,2020-11-06,18,184.00,0.25044,0.20024,1.21,1.19,1.24,1.29,146,386,GLD201106C00184000
2020-11-09,2020-11-09,2020-11-27,18,180.50,0.25386,0.20024,1.12,1.11,1.14,1.09,60,180,GLD201127C00180500
2020-11-30,2020-11-30,2020-12-18,18,171.50,0.25683,0.19048,1.02,1.00,1.03,1.02,61,205,GLD201218C00171500
2020-12-21,2020-12-21,2021-01-08,18,181.00,0.25586,0.19048,1.10,1.09,1.12,1.25,38,48,GLD210108C00181000
2021-01-11,2021-01-11,2021-01-29,18,178.00,0.25741,0.19048,1.15,1.13,1.16,1.16,101,769,GLD210129C00178000
2021-02-01,2021-02-01,2021-02-19,18,179.50,0.25881,0.20024,1.19,1.16,1.22,1.25,140,342,GLD210219C00179500
2021-02-22,2021-02-22,2021-03-12,18,174.00,0.25185,0.17097,0.96,0.94,0.98,0.97,107,134,GLD210312C00174000
2021-03-15,2021-03-15,2021-04-01,17,166.50,0.24516,0.17097,0.81,0.80,0.83,0.82,24,179,GLD210401C00166500
2021-04-05,2021-04-05,2021-04-23,18,165.50,0.24885,0.14170,0.72,0.71,0.73,0.70,1,39,GLD210423C00165500
2021-04-26,2021-04-26,2021-05-14,18,170.50,0.23431,0.13195,0.70,0.69,0.72,0.69,2,0,GLD210514C00170500
2021-05-17,2021-05-17,2021-06-04,18,179.00,0.24033,0.15146,0.86,0.85,0.88,0.91,19,185,GLD210604C00179000
2021-06-07,2021-06-07,2021-06-30,23,182.00,0.24974,0.13195,0.91,0.89,0.92,0.91,18,1315,GLD210630C00182000
2021-06-28,2021-06-28,2021-07-16,18,169.50,0.26598,0.12219,0.78,0.76,0.79,0.77,21,124,GLD210716C00169500
2021-07-19,2021-07-19,2021-08-06,18,173.00,0.27041,0.14170,0.93,0.91,0.94,0.78,2,176,GLD210806C00173000
2021-08-09,2021-08-09,2021-08-27,18,166.00,0.23875,0.16122,0.79,0.77,0.81,0.81,474,254,GLD210827C00166000
2021-08-30,2021-08-30,2021-09-17,18,173.00,0.23831,0.13195,0.72,0.71,0.74,0.72,45,3685,GLD210917C00173000
2021-09-20,2021-09-20,2021-10-08,18,169.00,0.24041,0.15146,0.77,0.75,0.78,0.75,24,1517,GLD211008C00169000
2021-10-11,2021-10-11,2021-10-29,18,167.50,0.25156,0.14170,0.73,0.72,0.74,0.81,4,50,GLD211029C00167500
2021-11-01,2021-11-01,2021-11-19,18,171.50,0.24822,0.15146,0.78,0.76,0.79,0.77,38,366,GLD211119C00171500
2021-11-22,2021-11-22,2021-12-10,18,172.50,0.24719,0.14170,0.78,0.76,0.79,0.79,77,304,GLD211210C00172500
2021-12-13,2021-12-13,2021-12-31,18,170.00,0.27705,0.13195,0.85,0.84,0.87,0.86,93,2163,GLD211231C00170000
2022-01-03,2022-01-03,2022-01-21,18,172.00,0.23574,0.13195,0.67,0.65,0.68,0.65,1042,8305,GLD220121C00172000
2022-01-24,2022-01-24,2022-02-11,18,176.00,0.23946,0.14170,0.78,0.76,0.80,0.80,97,625,GLD220211C00176000
2022-02-14,2022-02-14,2022-03-04,18,179.50,0.25830,0.18073,1.04,1.02,1.05,1.03,292,155,GLD220304C00179500
2022-03-07,2022-03-07,2022-03-25,18,197.50,0.23827,0.34658,1.90,1.88,1.93,1.91,3569,400,GLD220325C00197500
2022-03-28,2022-03-28,2022-04-14,17,185.00,0.26402,0.22951,1.38,1.36,1.39,1.39,10242,37678,GLD220414C00185000
2022-04-18,2022-04-18,2022-05-06,18,190.00,0.24417,0.18073,1.11,1.10,1.13,1.16,1309,8562,GLD220506C00190000
2022-05-09,2022-05-09,2022-05-27,18,178.00,0.25490,0.19048,1.04,1.02,1.05,1.05,42,317,GLD220527C00178000
2022-05-30,2022-05-27,2022-06-17,21,177.50,0.24215,0.15146,0.92,0.91,0.93,0.91,171,443,GLD220617C00177500
2022-06-20,2022-06-17,2022-07-08,21,176.00,0.26709,0.17097,1.08,1.06,1.11,1.04,71,517,GLD220708C00176000
2022-07-11,2022-07-11,2022-07-29,18,166.00,0.25588,0.18073,0.93,0.91,0.94,0.94,71,2172,GLD220729C00166000
2022-08-01,2022-08-01,2022-08-19,18,169.50,0.24306,0.16122,0.86,0.85,0.88,0.81,148,66,GLD220819C00169500
2022-08-22,2022-08-22,2022-09-09,18,165.50,0.25763,0.15146,0.78,0.76,0.79,0.80,29,280,GLD220909C00165500
2022-09-12,2022-09-12,2022-09-30,18,165.00,0.24204,0.16122,0.79,0.77,0.80,0.76,224,2565,GLD220930C00165000
2022-10-03,2022-10-03,2022-10-21,18,163.00,0.25764,0.18073,0.98,0.97,0.99,1.01,231,1497,GLD221021C00163000
2022-10-24,2022-10-24,2022-11-11,18,158.50,0.24901,0.19048,0.94,0.92,0.95,1.07,0,84,GLD221111C00158500
2022-11-14,2022-11-14,2022-12-02,18,169.00,0.25668,0.15146,0.83,0.82,0.85,0.85,379,541,GLD221202C00169000
2022-12-05,2022-12-05,2022-12-23,18,168.50,0.25424,0.15146,0.82,0.80,0.84,0.88,6,65,GLD221223C00168500
2022-12-26,2022-12-23,2023-01-13,21,172.00,0.23212,0.14170,0.71,0.69,0.74,0.65,7,246,GLD230113C00172000
2023-01-16,2023-01-13,2023-02-03,21,184.00,0.23931,0.15146,0.89,0.87,0.90,0.87,103,144,GLD230203C00184000
2023-02-06,2023-02-06,2023-02-24,18,178.50,0.24011,0.15146,0.76,0.75,0.77,0.73,116,256,GLD230224C00178500
2023-02-27,2023-02-27,2023-03-17,18,173.00,0.24048,0.13195,0.72,0.71,0.73,0.72,330,3774,GLD230317C00173000
2023-03-20,2023-03-20,2023-04-06,17,191.00,0.24085,0.22951,1.30,1.27,1.33,1.39,148,310,GLD230406C00191000
2023-04-10,2023-04-10,2023-04-28,18,191.00,0.24164,0.18073,1.03,1.01,1.05,1.03,37,1907,GLD230428C00191000
2023-05-01,2023-05-01,2023-05-19,18,189.00,0.25174,0.16122,0.98,0.96,1.00,0.99,96,1222,GLD230519C00189000
2023-05-22,2023-05-22,2023-06-09,18,188.50,0.25311,0.17097,0.98,0.96,1.00,1.05,42,0,GLD230609C00188500
2023-06-12,2023-06-12,2023-06-30,18,186.00,0.25325,0.13195,0.84,0.83,0.86,0.83,736,2099,GLD230630C00186000
2023-07-03,2023-07-03,2023-07-21,18,182.00,0.25092,0.11244,0.62,0.61,0.63,0.62,209,19966,GLD230721C00182000
2023-07-24,2023-07-24,2023-08-11,18,185.50,0.23645,0.12219,0.67,0.66,0.68,0.67,11,257,GLD230811C00185500
2023-08-14,2023-08-14,2023-09-01,18,180.50,0.25691,0.11244,0.68,0.66,0.69,0.68,16,175,GLD230901C00180500
2023-09-04,2023-09-01,2023-09-22,21,183.50,0.26754,0.10268,0.71,0.70,0.73,0.65,9,373,GLD230922C00183500
2023-09-25,2023-09-25,2023-10-13,18,181.00,0.24817,0.10268,0.62,0.61,0.63,0.62,28,265,GLD231013C00181000
2023-10-16,2023-10-16,2023-11-03,18,183.00,0.24549,0.16122,0.93,0.91,0.94,0.93,1479,301,GLD231103C00183000
2023-11-06,2023-11-06,2023-11-24,18,187.50,0.23749,0.12219,0.67,0.65,0.68,0.64,4,0,GLD231124C00187500
2023-11-27,2023-11-27,2023-12-15,18,191.00,0.25464,0.13195,0.81,0.80,0.82,0.80,1098,3019,GLD231215C00191000
2023-12-18,2023-12-18,2024-01-05,18,192.00,0.24357,0.12219,0.78,0.77,0.79,0.78,139,7257,GLD240105C00192000
2024-01-08,2024-01-08,2024-01-26,18,192.00,0.24481,0.12219,0.78,0.77,0.79,0.76,1438,1906,GLD240126C00192000
2024-01-29,2024-01-29,2024-02-16,18,192.50,0.26009,0.13195,0.81,0.80,0.82,0.85,78,580,GLD240216C00192500
2024-02-19,2024-02-16,2024-03-08,21,190.50,0.24463,0.11244,0.68,0.67,0.69,0.71,3,69,GLD240308C00190500
2024-03-11,2024-03-11,2024-03-28,17,210.00,0.18071,0.18073,0.71,0.70,0.72,0.70,5527,2668,GLD240328C00210000
2024-04-01,2024-04-01,2024-04-19,18,215.00,0.21001,0.17097,0.97,0.96,0.99,0.90,3561,4691,GLD240419C00215000
2024-04-22,2024-04-22,2024-05-10,18,222.50,0.24108,0.18073,1.20,1.18,1.22,1.21,381,1524,GLD240510C00222500
2024-05-13,2024-05-13,2024-05-31,18,222.50,0.24096,0.16122,1.06,1.04,1.08,1.03,70,1054,GLD240531C00222500
2024-06-03,2024-06-03,2024-06-21,18,222.50,0.28112,0.16122,1.29,1.27,1.31,1.27,405,1399,GLD240621C00222500
2024-06-24,2024-06-24,2024-07-12,18,222.50,0.21631,0.16122,0.88,0.86,0.89,0.86,23,1199,GLD240712C00222500
2024-07-15,2024-07-15,2024-08-02,18,230.00,0.26501,0.17097,1.27,1.25,1.28,1.25,366,658,GLD240802C00230000
2024-08-05,2024-08-05,2024-08-23,18,230.00,0.27328,0.21975,1.82,1.79,1.85,1.89,1431,2016,GLD240823C00230000
2024-08-26,2024-08-26,2024-09-13,18,240.00,0.24899,0.18073,1.29,1.27,1.30,1.28,170,30692,GLD240913C00240000
2024-09-16,2024-09-16,2024-10-04,18,246.00,0.23897,0.17097,1.20,1.18,1.22,1.16,10,0,GLD241004C00246000
2024-10-07,2024-10-07,2024-10-25,18,251.00,0.24631,0.16122,1.21,1.19,1.24,1.32,28,111,GLD241025C00251000
2024-10-28,2024-10-28,2024-11-15,18,261.00,0.25342,0.18073,1.58,1.56,1.60,1.73,11,3861,GLD241115C00261000
2024-11-18,2024-11-18,2024-12-06,18,247.50,0.24316,0.15146,1.17,1.14,1.20,1.15,109,202,GLD241206C00247500
2024-12-09,2024-12-09,2024-12-31,22,252.00,0.25117,0.14170,1.27,1.25,1.29,1.66,6,2458,GLD241231C00252000
2024-12-30,2024-12-30,2025-01-17,18,246.00,0.25280,0.13195,1.10,1.07,1.12,1.12,215,4181,GLD250117C00246000
2025-01-20,2025-01-17,2025-02-07,21,256.00,0.25896,0.15146,1.45,0.44,2.46,1.27,3,46,GLD250207C00256000
2025-02-10,2025-02-10,2025-02-28,18,274.00,0.25052,0.12219,1.10,0.38,1.82,1.73,31,17,GLD250228C00274000
2025-03-03,2025-03-03,2025-03-21,18,274.00,0.25062,0.16122,1.34,1.28,1.41,1.25,29,6415,GLD250321C00274000
2025-03-24,2025-03-24,2025-04-11,18,284.00,0.24799,0.14170,1.18,0.92,1.43,1.27,9,1336,GLD250411C00284000
2025-04-14,2025-04-14,2025-05-02,18,307.00,0.25346,0.21975,2.21,2.16,2.26,2.23,10,0,GLD250502C00307000
2025-05-05,2025-05-05,2025-05-23,18,319.00,0.25391,0.23926,2.50,2.41,2.59,0.82,0,124,GLD250523C00319000
2025-05-26,2025-05-23,2025-06-13,21,322.50,0.24458,0.21975,2.24,2.20,2.27,2.23,71,71,GLD250613C00322500
2025-06-16,2025-06-16,2025-07-03,17,322.00,0.24886,0.20024,1.96,1.94,1.98,1.96,41,314,GLD250703C00322000
2025-07-07,2025-07-07,2025-07-25,18,316.00,0.24325,0.16122,1.58,1.55,1.60,1.65,138,140,GLD250725C00316000
2025-07-28,2025-07-28,2025-08-15,18,314.00,0.25612,0.17097,1.67,1.64,1.70,1.70,492,4310,GLD250815C00314000
2025-08-18,2025-08-18,2025-09-05,18,314.00,0.26173,0.14170,1.40,1.39,1.42,1.41,67,298,GLD250905C00314000
2025-09-08,2025-09-08,2025-09-30,22,346.00,0.25486,0.18073,2.28,2.24,2.31,2.19,13,18,GLD250930C00346000
2025-09-29,2025-09-29,2025-10-17,18,365.00,0.21164,0.18073,1.77,1.74,1.80,1.79,1279,14772,GLD251017C00365000
2025-10-20,2025-10-20,2025-11-07,18,425.00,0.23917,0.30755,3.83,3.75,3.90,3.75,535,2704,GLD251107C00425000
2025-11-10,2025-11-10,2025-11-28,18,392.00,0.25426,0.21975,2.75,2.64,2.86,2.83,90,226,GLD251128C00392000
2025-12-01,2025-12-01,2025-12-19,18,405.00,0.25472,0.23926,3.08,3.00,3.15,3.15,867,59328,GLD251219C00405000
2025-12-22,2025-12-22,2026-01-09,18,425.00,0.23294,0.22951,2.83,2.77,2.90,2.70,678,628,GLD260109C00425000
2026-01-12,2026-01-12,2026-01-30,18,440.00,0.24656,0.24902,3.27,3.15,3.40,3.28,709,137057,GLD260130C00440000
2026-02-02,2026-02-02,2026-02-20,18,456.00,0.24806,0.39536,5.28,4.95,5.60,5.20,14,349,GLD260220C00456000
2026-02-23,2026-02-23,2026-03-13,18,513.00,0.24775,0.38560,5.70,5.40,6.00,5.71,3,22,GLD260313C00513000
2026-03-16,2026-03-16,2026-04-02,17,480.00,0.25462,0.26853,4.10,3.80,4.40,4.40,375,1037,GLD260402C00480000
2026-04-06,2026-04-06,2026-04-24,18,451.00,0.25114,0.32707,4.42,4.30,4.55,4.40,13,44,GLD260424C00451000
2026-04-27,2026-04-27,2026-05-15,18,445.00,0.24858,0.21000,2.94,2.90,2.98,2.92,850,8773,GLD260515C00445000
2026-05-18,2026-05-18,2026-06-05,18,434.00,0.25584,0.22951,3.20,3.05,3.35,3.35,14,195,GLD260605C00434000
